Investor Name,Priority,Relationship Type,Claim/Context,Source Document,Page/Location,Deal Context,Verification Priority
Tamarack Global,High,Deal flow partner,"Close relationship with partners, sourced Figure AI deal, $200M+ AUM deeptech firm",Case Studies - Outperforming Investments.md,Page 3,Figure AI - Sourced Series A ($70M at $420M post),Critical - Primary deal source claim
Vista Equity Partners Colleagues,High,Former employer + LP investors,"LP commitments and references from senior Vista leaders, planning to invest personal capital",Hyperion - Fund I.md; Letter to Prospective LPs.md,Page 4; Page 2,Vista 2021-2025: Deployed $1B+ across 15 deals,Critical - Verify LP commitment amounts and seniority
Mike Annunziata @ Also Capital,High,Key mentor,"Described as 'key mentor to Dillon', Dillon supported by sharing data center connections",Case Studies - Recent Investments.md,Page 3,Mesh Optical - Seed round co-investor,Critical - Mentorship depth and ongoing collaboration
Coatue,High,Strategic partner,"'Close with Coatue', strong partner on early-stage opportunities, co-led Dirac seed",Deeptech perspectives.md; Case Studies - Outperforming.md,Page 4; Page 5,Dirac - Co-led $6M seed with FF (Apr 2024),High - Verify strategic partnership claim
Nat Friedman & Daniel Gross,High,Co-investors,"Invested alongside in Composite Security seed round",Deeptech perspectives.md,Page 3,Composite Security - Seed round,High - Co-investment relationship validation
Figure AI Board Member,High,Mentor with collaboration commitment,"Mentored by Figure board member who expects to work with Dillon on pre-seed spin-outs",Deeptech perspectives.md,Page 4,Figure AI ecosystem / robotics spin-outs,Critical - Verify identity and collaboration commitment
Firmament Colleagues,High,Former employer + LP investors,"Planning to invest personal capital in fund, Dillon worked 2019-2021",Letter to Prospective LPs.md,Page 2,Quantinuum original investment (~$660K deployed),High - Verify LP commitments and amounts
Amazon (AWS & Warehouses),High,Commercial network,"'Close relationships' helpful for robotics founders seeking customer access",Deeptech perspectives.md,Page 4,Robotics portfolio companies - customer access,High - Verify relationship depth and actual intros
Founders Fund,Medium,Co-investor + network,"Co-led Dirac $6M seed (Trae Stephens sponsor), friend at FF introduced to CEO",Case Studies - Outperforming Investments.md,Page 5,Dirac - Advanced manufacturing AI,Medium - Relationship depth beyond single deal
DCVC,Medium,Co-investor + collaborator,"Key investor in Quantinuum, listed as early-stage deeptech collaborator",Fund I.md; Sourcing Differentiation.md,Page 19; Page 5,Quantinuum ($10.6B valuation),Medium - Verify collaboration vs. network mention
Thrive Capital,Medium,Co-investor + network,"Led Mesh Optical seed, intro target for Haiqu, mentioned in Dirac outreach",Case Studies - Recent Investments.md,Pages 2-3,Mesh Optical (lead); Haiqu (intro),Medium - Multiple touch points validation
8VC,Medium,Central Hub partner,"One of 4 'Central Hub' firms where Hyperion filters too-early deals, backed Bedrock",Sourcing Differentiation.md; Fund I.md,Page 5; Page 6,Bedrock ($80M+ raised),Medium - Strategic filtering relationship claim
a16z / American Dynamism,Medium,Central Hub partner,"One of 4 Central Hub firms, backed Foursquare (Henry Bellew connection)",Sourcing Differentiation.md; Fund I.md,Page 5; Page 6,Strategic hub positioning,Medium
Lowercarbon Capital,Medium,Central Hub partner + co-investor,"One of 4 Central Hub firms, key investor in Zap Energy, diligenced Entheos",Sourcing Differentiation.md; Fund I.md,Page 5; Page 19,Zap Energy (~$1.1B valuation),Medium
Spark Capital,Medium,Co-investor,"Key investor in Antithesis with Amplify, backed Garden (Henry connection)",Fund I.md; Sourcing Differentiation.md,Pages 6 & 19; Page 5,Antithesis (>$80M raised); Garden ($7M+),Medium
Amplify,Medium,Early-stage collaborator + co-investor,"Listed as deeptech collaborator, key investor in Antithesis",Sourcing Differentiation.md; Fund I.md,Page 5; Page 19,Antithesis co-investor,Medium
Drive Capital,Medium,Co-investor,"Led Normal Computing $17M Series A where Dillon got advisory shares",Case Studies - Outperforming Investments.md; Fund I.md,Page 4; Page 19,Normal Computing - Advanced semis,Medium
First Spark Ventures,Medium,Co-investor + collaborator,"Key investor in Normal, listed as early-stage deeptech collaborator",Fund I.md; Sourcing Differentiation.md,Page 19; Page 5,Normal Computing,Medium
Celesta,Medium,Co-investor,"Key investor in Normal Computing",Fund I.md,Page 19,Normal Computing,Low
Addition,Medium,Co-investor,"Key investor in Zap Energy fusion company",Fund I.md,Page 19,Zap Energy (~$1.1B valuation),Low
Soros Fund Management,Medium,Co-investor,"Key investor in Zap Energy",Fund I.md,Page 19,Zap Energy,Low
Nvidia,Medium,Corporate co-investor,"Key investor in Figure AI Series B ($675M at $2.6B)",Fund I.md; Case Studies - Outperforming.md,Page 19; Page 3,Figure AI,Low
OpenAI,Medium,Corporate co-investor,"Co-led Figure AI Series B with Microsoft and Nvidia",Fund I.md; Case Studies - Outperforming.md,Page 19; Page 3,Figure AI,Low
Microsoft,Medium,Corporate co-investor,"Key investor in Figure AI Series B",Fund I.md; Case Studies - Outperforming.md,Page 19; Page 3,Figure AI,Low
IBM,Medium,Corporate co-investor,"Key investor in Quantinuum",Fund I.md; Case Studies - Outperforming.md,Page 19; Page 2,Quantinuum ($10.6B valuation),Low
JPMorgan Chase,Medium,Corporate co-investor,"Key investor in Quantinuum",Case Studies - Outperforming Investments.md,Page 2,Quantinuum,Low
Mitsui,Medium,Corporate co-investor,"Key investor in Quantinuum",Case Studies - Outperforming Investments.md,Page 2,Quantinuum,Low
Primary Ventures,Medium,Co-investor,"Led Haiqu $10M seed round where Dillon invested $20K",Case Studies - Recent Investments.md,Page 2,Haiqu - Quantum algorithm platform,Low
Soma Capital,Medium,Co-investor,"Key investor in Haiqu seed round",Case Studies - Recent Investments.md,Page 2,Haiqu,Low
Alumni Ventures,Medium,Syndication partner,"Introduced by Dillon as Haiqu co-investor (~$700K with Collab Fund)",Case Studies - Recent Investments.md,Page 2,Haiqu seed - Dillon syndicated,Medium - Syndication relationship
Collab Fund,Medium,Syndication partner,"Introduced by Dillon as Haiqu co-investor (~$700K combined)",Case Studies - Recent Investments.md,Page 2,Haiqu seed - Dillon syndicated,Medium - Syndication relationship
Khosla Ventures,Medium,Diligenced but passed,"Showed interest in Bleximo but fell through in diligence (failed investment)",Case Studies - Underperforming Investments.md,Page 2,Bleximo (failed) - Bridge round interest,Low
GV (Google Ventures),Medium,Co-investor but passed on follow-on,"Invested in Bleximo but passed on Series A (failed investment)",Case Studies - Underperforming Investments.md,Page 2,Bleximo (failed),Low
ENIAC,Medium,Co-investor,"Investor in Bleximo ~$1.5M bridge round (Aug 2022 - failed)",Case Studies - Underperforming Investments.md,Page 2,Bleximo,Low
Scout Ventures,Medium,Co-investor,"Investor in Bleximo bridge round (failed)",Case Studies - Underperforming Investments.md,Page 2,Bleximo,Low
Index Ventures,Low,Tier 1 Generalist network,"Listed in Tier 1 deeptech-interested generalists receiving off-core deals",Sourcing Differentiation.md,Page 5,Network - Too-early deal filter,Low
Avenir,Low,Tier 1 Generalist network,"Tier 1 generalist, also mentioned on Fund I page 10 growing deeptech interest",Sourcing Differentiation.md; Fund I.md,Page 5; Page 10,Network mention,Low
Eclipse,Low,Tier 1 Generalist + co-investor,"Tier 1 generalist, backed Bedrock where Henry Bellew worked",Sourcing Differentiation.md; Fund I.md,Page 5; Page 6,Bedrock ($80M+ raised),Low
General Innovation,Low,Tier 1 Generalist network,"Listed in Tier 1 deeptech-interested generalists",Sourcing Differentiation.md,Page 5,Network mention,Low
Interlagos,Low,Tier 1 Generalist network,"Listed in Tier 1 deeptech-interested generalists",Sourcing Differentiation.md,Page 5,Network mention,Low
Cerberus Ventures,Low,Tier 1 Generalist network,"Listed in Tier 1 deeptech-interested generalists",Sourcing Differentiation.md,Page 5,Network mention,Low
Altimeter,Low,Tier 2 Generalist network,"Tier 2 generalist, also mentioned on Fund I page 10",Sourcing Differentiation.md; Fund I.md,Page 5; Page 10,Network mention,Low
Bedrock,Low,Tier 2 Generalist network,"Tier 2 generalist, backed Cursor $9.9B, intro target for Haiqu",Sourcing Differentiation.md; Case Studies - Recent.md,Page 5; Page 2,Network mention,Low
Raine,Low,Tier 2 Generalist + former employer,"Tier 2 generalist, Henry Bellew's former employer, backed Bedrock & Foursquare",Sourcing Differentiation.md; Fund I.md,Page 5; Page 6,Henry Bellew connection,Low
USV (Union Square Ventures),Low,Tier 2 Generalist network,"Tier 2 generalist, intro target for Haiqu CEO",Sourcing Differentiation.md; Case Studies - Recent.md,Page 5; Page 2,Network mention,Low
Insight Partners,Low,Tier 3 Generalist network,"Listed in Tier 3 deeptech-interested generalists",Sourcing Differentiation.md; Fund I.md,Page 5; Page 10,Network mention,Low
Point72 Ventures,Low,Tier 3 Generalist network,"Listed in Tier 3 deeptech-interested generalists",Sourcing Differentiation.md; Fund I.md,Page 5; Page 10,Network mention,Low
Hedosophia,Low,Tier 3 Generalist network,"Listed in Tier 3 deeptech-interested generalists",Sourcing Differentiation.md; Fund I.md,Page 5; Page 10,Network mention,Low
Nava,Low,Tier 3 Generalist network,"Listed in Tier 3 deeptech-interested generalists",Sourcing Differentiation.md,Page 5,Network mention,Low
Inspired Capital,Low,Tier 3 Generalist network,"Listed in Tier 3 deeptech-interested generalists",Sourcing Differentiation.md; Fund I.md,Page 5; Page 10,Network mention,Low
Greenoaks,Low,Tier 3 Generalist network,"Listed in Tier 3 deeptech-interested generalists",Sourcing Differentiation.md; Fund I.md,Page 5; Page 10,Network mention,Low
Sequoia,Low,Tier 3 Generalist network,"Listed in Tier 3 deeptech-interested generalists",Sourcing Differentiation.md,Page 5,Network mention,Low
Bessemer Venture Partners,Low,Tier 3 Generalist network,"Listed in Tier 3 deeptech-interested generalists",Sourcing Differentiation.md; Fund I.md,Page 5; Page 10,Network mention,Low
Kleiner Perkins,Low,Tier 2/3 Generalist network,"Listed as Tier 2 or 3 deeptech-interested generalist",Sourcing Differentiation.md; Fund I.md,Page 5; Page 10,Network mention,Low
Dragoneer Investment Group,Low,Tier 4 Generalist network,"Listed in Tier 4 deeptech-interested generalists",Sourcing Differentiation.md; Fund I.md,Page 5; Page 10,Network mention,Low
